,Name,Y0,X0,Y1,X1,Confidence,Class
0,r_579_15,6,2,114,91,1.00,single
1,r_579_16,4,0,110,124,1.00,single
2,r_579_17,19,0,105,123,1.00,single
3,r_579_18,0,0,123,73,1.00,single
4,r_579_19,6,1,115,92,1.00,single
5,r_579_20,5,0,107,102,1.00,single
6,r_579_21,4,0,110,124,1.00,single
7,r_579_22,2,3,123,94,1.00,single
8,r_579_23,14,4,116,91,1.00,single
9,r_579_24,2,1,132,104,1.00,single
10,r_003_01,17,3,123,77,1.00,single
11,r_003_02,4,0,123,104,1.00,single
12,r_003_03,4,0,124,87,1.00,single
13,r_003_04,6,3,122,90,1.00,single
14,r_003_05,3,0,118,105,1.00,single
15,r_003_06,5,6,110,99,1.00,single
16,r_003_07,5,7,131,100,1.00,single
17,r_003_08,3,7,99,124,1.00,single
18,r_003_09,10,22,95,106,1.00,single
19,r_003_10,5,3,121,89,1.00,single
20,r_003_11,12,6,100,120,1.00,single
21,r_003_12,6,2,121,67,1.00,single
22,r_003_13,1,0,131,64,1.00,single
23,r_003_14,4,3,131,91,1.00,single
24,r_003_15,3,5,111,109,1.00,single
25,r_004_01,3,3,122,51,1.00,single
26,r_004_02,0,9,123,54,1.00,single
27,r_004_03,3,0,132,40,1.00,single
28,r_004_04,1,0,123,57,1.00,single
29,r_004_05,2,1,125,62,1.00,single
30,r_004_06,0,4,124,52,1.00,single
31,r_004_07,2,1,126,61,1.00,single
32,r_004_08,0,0,128,61,1.00,single
33,r_004_09,1,1,121,61,1.00,single
34,r_004_10,0,3,123,55,1.00,single
35,r_004_11,0,2,124,61,1.00,single
36,r_004_12,1,2,123,57,1.00,single
37,r_004_13,0,6,133,48,1.00,single
38,r_004_14,1,2,121,48,1.00,single
39,r_005_01,1,0,100,109,1.00,single
40,r_005_02,0,5,126,88,1.00,single
41,r_005_03,4,0,125,87,1.00,single
42,r_005_04,6,3,128,85,1.00,single
43,r_005_05,11,4,115,93,1.00,single
44,r_005_06,2,2,126,97,1.00,single
45,r_005_07,5,1,114,88,1.00,single
46,r_005_08,2,11,108,95,1.00,single
47,r_005_09,38,14,99,91,0.92,single
48,r_005_10,8,6,109,90,1.00,single
49,r_005_11,0,2,125,83,1.00,single
50,r_006_01,13,16,123,74,1.00,single
51,r_006_02,14,5,115,64,1.00,single
52,r_006_03,1,9,115,91,1.00,single
53,r_006_04,2,4,124,73,1.00,single
54,r_006_05,0,0,124,73,1.00,single
55,r_006_06,13,7,108,79,1.00,single
56,r_006_07,11,13,94,109,0.99,single
57,r_006_08,4,5,130,64,1.00,single
58,r_006_09,14,8,113,72,1.00,single
59,r_006_10,4,4,124,78,1.00,single
60,r_006_11,0,1,121,72,1.00,single
61,r_006_12,0,6,125,65,1.00,single
62,r_006_13,0,17,130,62,0.99,single
63,r_006_14,3,5,129,60,1.00,single
64,r_006_15,5,6,123,68,1.00,single
65,r_006_16,1,2,123,57,1.00,single
66,r_006_17,2,2,128,46,1.00,single
67,r_006_18,4,7,117,74,1.00,single
68,r_006_19,11,7,116,88,1.00,single
69,r_006_20,3,3,132,62,1.00,single
70,r_008_01,5,12,121,68,1.00,single
71,r_008_02,2,0,121,81,1.00,single
72,r_008_03,8,5,115,72,1.00,single
73,r_008_04,1,2,126,67,1.00,single
74,r_008_05,1,5,123,87,1.00,single
75,r_008_06,5,0,123,122,1.00,single
76,r_008_07,15,5,103,102,1.00,single
77,r_008_08,2,6,122,65,0.97,single
78,r_008_09,11,0,100,83,1.00,single
79,r_008_10,8,16,104,77,1.00,single
80,r_008_11,11,9,120,63,0.98,single
81,r_008_12,7,6,121,67,1.00,single
82,r_009_01,3,2,127,55,1.00,single
83,r_009_02,3,0,120,55,1.00,single
84,r_009_03,1,3,132,59,1.00,single
85,r_010_01,1,4,128,80,1.00,single
86,r_010_02,4,2,104,124,1.00,single
87,r_010_03,13,0,125,75,1.00,single
88,r_010_04,0,8,120,117,1.00,single
89,r_010_05,4,3,125,85,1.00,single
90,r_010_06,10,11,115,91,1.00,single
91,r_010_07,6,2,113,88,1.00,single
92,r_010_08,5,3,125,74,1.00,single
93,r_010_09,3,1,125,88,1.00,single
94,r_010_10,13,0,92,129,1.00,single
95,r_010_11,2,5,124,100,1.00,single
96,r_010_12,2,7,124,87,1.00,single
97,r_012_01,0,0,113,93,1.00,single
98,r_012_02,0,12,122,74,1.00,single
99,r_012_03,8,6,125,82,1.00,single
100,r_012_04,0,6,128,63,1.00,single
101,r_012_05,2,8,127,73,1.00,single
102,r_012_06,0,2,125,82,0.99,single
103,r_012_07,6,0,122,56,1.00,single
104,r_012_08,1,0,125,72,1.00,single
105,r_012_09,0,10,118,60,1.00,single
106,r_012_10,0,2,132,60,1.00,single
107,r_012_11,0,8,132,61,0.99,single
108,r_013_01,2,0,100,100,1.00,single
109,r_013_02,7,7,76,113,1.00,single
110,r_013_03,5,0,78,121,1.00,single
111,r_013_04,11,11,81,110,1.00,single
112,r_013_05,13,0,73,106,0.94,single
113,r_013_06,2,1,90,107,1.00,single
114,r_013_07,2,4,83,72,1.00,single
115,r_013_08,9,2,105,90,1.00,single
116,r_013_09,8,5,94,110,1.00,single
117,r_013_10,8,2,93,101,1.00,single
118,r_013_11,0,0,90,121,1.00,single
119,r_013_12,0,12,81,102,1.00,single
120,r_013_13,8,4,83,117,1.00,single
121,r_013_14,6,10,71,97,1.00,single
122,r_013_15,0,9,84,106,1.00,single
123,r_013_16,6,8,111,84,1.00,single
124,r_013_17,0,16,90,99,1.00,single
125,r_013_18,6,2,94,103,1.00,single
126,r_013_19,6,1,90,86,1.00,single
127,r_013_20,5,0,87,106,1.00,single
128,r_013_21,8,5,97,101,1.00,single
129,r_013_22,3,3,100,103,1.00,single
130,r_013_23,12,6,86,110,1.00,single
131,r_013_24,0,16,87,108,1.00,single
132,r_013_25,7,17,84,95,0.99,single
133,r_013_26,10,6,77,110,0.94,single
134,r_013_27,3,11,96,116,1.00,single
135,r_013_28,2,4,100,101,1.00,single
136,r_013_29,31,18,57,82,0.83,single
137,r_013_30,18,10,41,89,0.99,single
138,r_013_31,25,12,50,94,0.53,single
139,r_013_32,34,15,59,85,0.98,single
140,r_013_33,16,2,73,127,1.00,single
141,r_013_34,37,1,60,97,0.81,single
142,r_013_35,35,13,58,85,0.81,single
143,r_014_01,5,9,97,93,1.00,single
144,r_014_02,17,18,86,111,1.00,single
145,r_014_03,4,7,86,96,1.00,single
146,r_014_04,14,19,61,100,0.99,single
147,r_014_05,21,7,82,82,0.99,single
148,r_014_06,16,9,83,105,1.00,single
149,r_014_07,4,7,97,78,1.00,single
150,r_014_08,0,7,106,105,1.00,single
151,r_014_09,3,2,99,107,0.99,single
152,r_014_10,13,10,75,74,0.99,single
153,r_014_11,2,6,97,113,1.00,single
154,r_014_12,5,0,85,111,1.00,single
155,r_014_13,18,16,103,97,1.00,single
156,r_014_14,7,6,93,104,1.00,single
157,r_014_15,13,10,98,105,1.00,single
158,r_015_01,2,6,102,106,1.00,single
159,r_015_02,13,11,107,75,1.00,single
160,r_015_03,15,2,106,105,1.00,single
161,r_015_04,13,34,118,72,0.98,single
162,r_015_05,10,6,119,81,1.00,single
163,r_016_01,4,11,108,82,1.00,single
164,r_016_02,14,15,82,97,0.99,single
165,r_016_03,2,0,133,54,0.99,single
166,r_016_04,4,11,108,117,1.00,single
167,r_016_05,24,2,88,114,0.98,single
168,r_016_06,2,0,131,59,1.00,single
169,r_016_07,6,3,125,82,1.00,single
170,r_016_08,7,3,107,86,1.00,single
171,r_016_09,12,16,115,87,1.00,single
172,r_016_10,26,10,97,99,1.00,single
173,r_018_01,5,4,72,96,1.00,single
174,r_018_02,5,12,78,77,1.00,single
175,r_018_03,4,4,77,115,1.00,single
176,r_018_04,0,4,86,83,1.00,single
177,r_018_05,1,5,82,91,1.00,single
178,r_018_06,10,3,85,73,1.00,single
179,r_018_07,4,8,87,93,1.00,single
180,r_018_08,3,12,82,90,1.00,single
181,r_018_09,15,13,83,76,1.00,single
182,r_018_10,0,9,89,87,1.00,single
183,r_018_11,5,15,84,102,1.00,single
184,r_018_12,3,33,78,104,1.00,single
185,r_018_13,9,7,86,90,1.00,single
186,r_018_14,7,11,28,118,0.56,single
187,r_018_15,12,12,70,106,1.00,single
188,r_018_16,0,18,83,108,1.00,single
189,r_018_17,15,21,73,94,1.00,single
190,r_018_18,8,19,88,97,1.00,single
191,r_019_01,17,10,91,104,1.00,single
192,r_019_02,13,2,74,107,0.83,single
193,r_019_03,21,6,79,106,1.00,single
194,r_019_04,31,5,68,105,0.99,single
195,r_019_05,9,0,93,98,1.00,single
196,r_019_06,23,6,73,90,0.95,single
197,r_019_07,24,12,74,88,0.99,single
198,r_020_01,4,4,85,86,1.00,single
199,r_020_02,11,6,81,119,1.00,single
200,r_020_03,2,0,81,111,0.73,single
201,r_020_04,57,3,115,99,0.98,single
202,r_020_05,9,9,58,112,1.00,single
203,r_020_06,4,5,58,98,1.00,single
204,r_020_07,3,4,64,107,1.00,single
205,r_021_01,18,3,110,82,0.97,single
